time_stamp,sensor_index,2.5_um_count,2.5_um_count_a,2.5_um_count_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b
2024-05-01T02:40:00Z,175665,6.356,5.706,7.006,7.914999999999999,7.806,8.024,7.914999999999999,7.806,8.024
2024-05-01T20:00:00Z,175665,4.571,4.582,4.56,11.076,11.288,10.864,11.076,11.288,10.864
2024-05-01T09:50:00Z,175665,3.117,2.496,3.738,8.113,7.714,8.512,8.113,7.714,8.512
2024-05-01T06:30:00Z,175665,6.708,5.21,8.206,7.938,7.5,8.376,7.938,7.5,8.376
2024-05-01T14:40:00Z,175665,1.9170000000000005,2.212,1.622,4.779999999999999,4.792,4.768,4.779999999999999,4.792,4.768
2024-05-01T17:40:00Z,175665,4.0440000000000005,4.256,3.832,8.667,8.424,8.91,8.667,8.424,8.91
2024-05-01T18:50:00Z,175665,5.509,4.474,6.544,9.567,9.224,9.91,9.567,9.224,9.91
2024-05-01T06:20:00Z,175665,8.44,5.97,10.91,8.982,8.286,9.678,8.982,8.286,9.678
2024-05-01T08:10:00Z,175665,6.533,5.57,7.496,9.088,8.61,9.566,9.088,8.61,9.566
2024-05-01T08:20:00Z,175665,5.712,4.856,6.568,10.141,9.86,10.422,10.141,9.86,10.422
2024-05-01T12:20:00Z,175665,2.587,2.138,3.036,7.593,7.176,8.01,7.593,7.176,8.01
2024-05-01T18:20:00Z,175665,4.807,3.944,5.67,10.366,10.142,10.59,10.366,10.142,10.59
2024-05-01T05:00:00Z,175665,9.02,7.684,10.356,8.074,8.024,8.124,8.074,8.024,8.124
2024-05-01T07:00:00Z,175665,7.712,5.498,9.926,9.277,8.822,9.732,9.277,8.822,9.732
2024-05-01T16:20:00Z,175665,1.729,1.936,1.522,4.405,4.222,4.588,4.405,4.222,4.588
2024-05-01T01:40:00Z,175665,4.255,3.212,5.298,5.928,5.678,6.178,5.928,5.678,6.178
2024-05-01T03:20:00Z,175665,9.777,8.016,11.538,8.212,8.036,8.388,8.212,8.036,8.388
2024-05-01T03:10:00Z,175665,6.725,6.708,6.742,7.984,7.912,8.056,7.984,7.912,8.056
2024-05-01T04:20:00Z,175665,6.430999999999999,5.31,7.552,7.875999999999999,7.508,8.244,7.875999999999999,7.508,8.244
2024-05-01T06:40:00Z,175665,8.215,7.2,9.23,8.344999999999999,7.946,8.744,8.344999999999999,7.946,8.744
2024-05-01T19:10:00Z,175665,4.454000000000001,3.75,5.158,8.978,8.732,9.224,8.978,8.732,9.224
2024-05-01T23:50:00Z,175665,5.514,4.426,6.602,9.93,9.354,10.506,9.93,9.354,10.506
2024-05-01T05:10:00Z,175665,9.53,8.444,10.616,9.718,9.652,9.784,9.718,9.652,9.784
2024-05-01T15:00:00Z,175665,2.06,1.792,2.328,4.924,4.9,4.948,4.924,4.9,4.948
2024-05-01T22:30:00Z,175665,5.005000000000001,4.166,5.844,10.006,9.6,10.412,10.006,9.6,10.412
2024-05-01T08:40:00Z,175665,4.924,4.598,5.25,9.432,9.074,9.79,9.432,9.074,9.79
2024-05-01T09:00:00Z,175665,5.286,4.374,6.198,10.218,9.954,10.482,10.218,9.954,10.482
2024-05-01T10:50:00Z,175665,11.543,7.876,15.21,16.087,15.114,17.06,18.494,17.122,19.866
2024-05-01T18:10:00Z,175665,5.424,4.502,6.346,9.729,9.436,10.022,9.729,9.436,10.022
2024-05-01T12:00:00Z,175665,2.924,2.52,3.328,8.474,8.196,8.752,8.474,8.196,8.752
2024-05-01T14:00:00Z,175665,2.623,2.2,3.046,6.632,6.424,6.84,6.632,6.424,6.84
2024-05-01T23:10:00Z,175665,4.765,3.664,5.866,9.486,9.33,9.642,9.486,9.33,9.642
2024-05-01T04:00:00Z,175665,7.775,7.072,8.478,7.258,6.99,7.526,7.258,6.99,7.526
2024-05-01T12:30:00Z,175665,3.128,2.902,3.354,7.893000000000001,7.604,8.182,7.893000000000001,7.604,8.182
2024-05-01T21:30:00Z,175665,5.579000000000001,4.892,6.266,11.916,11.856,11.976,11.916,11.856,11.976
2024-05-01T08:30:00Z,175665,5.026,3.446,6.606,10.064,9.056,11.072,10.064,9.056,11.072
2024-05-01T03:50:00Z,175665,7.334,5.412,9.256,7.907,7.398,8.416,7.907,7.398,8.416
2024-05-01T22:20:00Z,175665,4.432,3.91,4.954,10.184,10.028,10.34,10.184,10.028,10.34
2024-05-01T20:30:00Z,175665,5.332,4.132,6.532,10.4,9.956,10.844,10.4,9.956,10.844
